5
6
20

1

300	400	600	200	600	

1	1	1	1	1	

3	
3	
3	
3	
3	


2	3	4	

1	4	3	

4	5	3	

3	6	1	

6	1	4	


5	6	2	
2	1	6	
4	3	4	
4	3	4	
2	6	5	

5	5	5	5	5	5	
4300	1900	2600	3700	2500	2100	
450	350	750	700	600	550	

0	12	10	9	7	2	7	9	10	6	8	10	7	11	7	13	8	10	6	15	
12	0	6	3	11	14	7	7	4	6	8	2	9	7	5	3	4	6	6	3	
10	6	0	5	5	12	9	1	10	4	10	4	3	1	7	3	10	12	4	5	
9	3	5	0	10	11	4	6	5	3	5	1	8	6	2	4	5	7	3	6	
7	11	5	10	0	9	14	4	15	9	15	9	2	4	12	8	15	17	7	10	
2	14	12	11	9	0	7	11	12	8	6	12	9	13	9	15	10	10	8	17	
7	7	9	4	14	7	0	10	5	5	1	5	12	10	2	8	3	3	7	10	
9	7	1	6	4	11	10	0	11	5	11	5	2	2	8	4	11	13	3	6	
10	4	10	5	15	12	5	11	0	6	6	6	13	11	3	7	2	2	8	5	
6	6	4	3	9	8	5	5	6	0	6	4	7	5	3	7	6	8	2	9	
8	8	10	5	15	6	1	11	6	6	0	6	13	11	3	9	4	4	8	11	
10	2	4	1	9	12	5	5	6	4	6	0	7	5	3	3	6	8	4	5	
7	9	3	8	2	9	12	2	13	7	13	7	0	4	10	6	13	15	5	8	
11	7	1	6	4	13	10	2	11	5	11	5	4	0	8	4	11	13	5	6	
7	5	7	2	12	9	2	8	3	3	3	3	10	8	0	6	3	5	5	8	
13	3	3	4	8	15	8	4	7	7	9	3	6	4	6	0	7	9	7	2	
8	4	10	5	15	10	3	11	2	6	4	6	13	11	3	7	0	2	8	7	
10	6	12	7	17	10	3	13	2	8	4	8	15	13	5	9	2	0	10	7	
6	6	4	3	7	8	7	3	8	2	8	4	5	5	5	7	8	10	0	9	
15	3	5	6	10	17	10	6	5	9	11	5	8	6	8	2	7	7	9	0	
